doors,FOB,CIF,mileage,cc,make,currency,model,registered,steering,url,fuel,transmission
3,7750.0,0,142000,1800,Toyota,USD,Celica,2001-04-01T00:00:00,RHD,https://www.japanesecartrade.com/4829039-japan-used-toyota-celica-coupe-2001.html,Petrol,Manual
3,10500.0,0,116000,2000,Toyota,USD,Celica,1990-12-01T00:00:00,RHD,https://www.japanesecartrade.com/5528690-japan-used-toyota-celica-sports-cars-1990.html,Petrol,F5
3,17970.0,0,100000,2000,Toyota,USD,Celica,1991-11-01T00:00:00,RHD,https://www.japanesecartrade.com/5528689-japan-used-toyota-celica-sports-cars-1991.html,Petrol,F5
2,10850.0,0,40774,1790,Toyota,USD,Celica,2001-03-01T00:00:00,RHD,https://www.japanesecartrade.com/5690406-japan-used-toyota-celica-sports-cars-2001.html,Petrol,Manual
2,15920.0,0,126175,1990,Toyota,USD,Celica,1995-07-01T00:00:00,RHD,https://www.japanesecartrade.com/6213539-japan-new-toyota-celica-sports-cars-1995.html,Petrol,Manual
3,16620.0,0,126175,1990,Toyota,USD,Celica,1995-07-01T00:00:00,RHD,https://www.japanesecartrade.com/6197963-japan-used-toyota-celica-sports-cars-1995.html,Petrol,Manual
,19120.0,0,193000,2000,Toyota,USD,Celica,1994-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6048265-japan-used-toyota-celica-sports-cars-1994.html,Petrol,"F5MT,."
3,7290.0,0,96000,2000,Toyota,USD,Celica,1996-09-01T00:00:00,RHD,https://www.japanesecartrade.com/5354323-japan-used-toyota-celica-sports-cars-1996.html,Petrol,MT5
3,4650.0,0,129000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346854-japan-used-toyota-celica-sports-cars-1998.html,Gasolin,Automatic
,11400.0,0,50000,2000,Toyota,USD,Celica,1998-01-01T00:00:00,--,https://www.japanesecartrade.com/6371603-japan-used-toyota-celica-sports-cars-1998.html,,F5
3,6570.0,0,52000,1800,Toyota,USD,Celica,2000-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6344010-japan-used-toyota-celica-sports-cars-2000.html,Gasolin,Automatic
3,6810.0,0,133000,1800,Toyota,USD,Celica,2002-01-01T00:00:00,RHD,https://www.japanesecartrade.com/6346848-japan-used-toyota-celica-sports-cars-2002.html,Gasolin,Automatic
